claim_id,season,plan_name,event_type,plan_base_premium,plan_max_payout,gps_zone_match,claim_velocity_7d,historical_zone_presence,time_since_event_seconds,platform_activity_during_event,claimed_amount,claimed_amount_ratio,prior_rejections_90d,is_fraud
CLM_01501,monsoon,nano,Heavy Rain,25.0,500.0,1,1,0.6849,7204,0.9138,152.84,0.3057,0,0
CLM_02586,monsoon,nano,Platform Outage,25.0,500.0,1,0,0.8824,2389,0.5617,253.29,0.5066,0,0
CLM_02653,summer,basic,Heatwave,49.0,1000.0,1,0,0.8483,9891,0.8844,513.83,0.5138,0,0
CLM_01055,winter,basic,Platform Outage,49.0,1000.0,1,0,0.8183,28348,0.3039,343.3,0.3433,0,0
CLM_00705,festival,premium,Platform Outage,99.0,3500.0,1,2,0.779,1965,0.1707,1060.14,0.3029,0,0
CLM_00106,summer,standard,Heatwave,79.0,2000.0,1,1,0.5828,743,0.3667,590.76,0.2954,0,0
CLM_00589,monsoon,standard,Platform Outage,79.0,2000.0,1,2,0.8628,1213,0.6095,1051.38,0.5257,0,0
CLM_02468,winter,nano,Platform Outage,25.0,500.0,1,0,0.6581,16495,0.6054,112.77,0.2255,0,0
CLM_02413,festival,nano,Platform Outage,25.0,500.0,1,1,0.5642,6611,0.754,234.62,0.4692,0,0
CLM_01600,summer,basic,Heatwave,49.0,1000.0,1,0,0.9404,3470,0.1803,572.23,0.5722,0,0
CLM_02464,festival,nano,Platform Outage,25.0,500.0,1,0,0.7449,5617,0.4872,200.42,0.4008,0,0
CLM_00228,summer,premium,Platform Outage,99.0,3500.0,1,1,0.6038,11523,0.686,1906.24,0.5446,0,0
CLM_00915,summer,basic,Heatwave,49.0,1000.0,1,0,0.8835,6939,0.9741,466.99,0.467,0,0
CLM_00794,festival,nano,Platform Outage,25.0,500.0,1,0,0.529,7682,0.8462,244.57,0.4891,0,0
CLM_03021,winter,basic,Platform Outage,49.0,1000.0,1,0,0.6377,6938,0.8723,406.51,0.4065,0,0
CLM_03543,monsoon,standard,Heavy Rain,79.0,2000.0,1,1,0.4409,10619,0.4649,962.44,0.4812,0,0
CLM_01073,monsoon,basic,Platform Outage,49.0,1000.0,1,0,0.7344,23247,0.6382,527.28,0.5273,0,0
